0,0,0,2,13,5,25,8,36,15,46,23,54,31,61,39,68,48,70,58,67,66,61,75,53,83,45,90,35,94,24,97,12,100,0
0,0,0,1,12,3,25,6,36,11,47,19,55,28,63,37,71,47,73,57,71,66,64,75,56,84,47,91,36,94,27,97,14,100,1
0,0,6,2,19,5,30,9,43,16,53,25,62,34,70,44,76,53,77,63,74,73,66,82,57,90,47,96,36,98,23,99,12,100,0
0,0,0,1,13,4,26,8,39,16,49,25,58,34,65,44,72,53,74,63,72,72,66,80,59,88,50,94,40,96,28,98,16,100,4
0,0,0,0,13,1,26,5,38,12,49,21,58,30,67,39,75,48,78,58,76,66,68,75,58,84,48,92,38,96,27,98,13,100,1
0,0,0,0,12,2,26,5,41,9,55,17,67,25,79,36,87,48,90,61,87,71,79,80,68,87,56,92,43,95,31,98,17,100,5
0,0,3,2,15,4,27,7,37,14,46,22,55,32,62,40,68,50,70,59,68,68,62,77,55,86,46,93,36,96,25,98,12,100,0
0,0,0,1,13,3,26,7,37,12,48,20,57,29,65,38,71,49,74,60,73,69,67,79,60,87,50,93,39,96,26,98,14,100,0
0,0,2,1,15,3,29,6,43,13,53,23,62,32,70,42,77,52,79,61,76,69,68,79,60,88,51,94,40,97,27,98,13,100,0
0,0,1,1,13,3,27,4,41,8,54,15,66,25,76,37,84,50,85,63,83,75,76,83,64,90,52,93,37,95,24,98,12,100,0
0,0,3,1,16,3,29,7,42,13,53,22,61,31,70,40,76,50,79,60,76,68,69,77,60,86,50,92,39,96,27,98,13,100,0
0,0,0,1,13,4,25,7,37,13,48,21,57,31,64,40,70,51,72,62,70,70,64,78,56,86,47,92,37,95,25,97,13,100,0
0,0,1,0,13,2,25,6,37,11,51,18,62,28,73,40,80,52,84,63,81,74,74,83,64,89,51,94,38,97,25,100,13,100,0
0,0,1,0,15,1,28,5,40,11,52,18,62,26,71,35,78,46,81,57,78,66,71,76,61,84,51,91,40,95,27,98,14,100,0
0,0,0,1,13,4,25,9,37,16,46,25,54,34,61,42,66,50,68,59,66,66,60,75,54,83,46,91,37,95,25,98,13,100,0
0,0,4,1,17,5,28,9,39,13,50,20,59,30,66,39,71,50,74,60,72,71,67,79,60,86,51,90,39,92,26,97,13,100,0
0,0,1,2,14,5,26,8,38,15,48,24,56,33,63,41,69,50,72,60,69,67,63,76,55,85,47,91,36,94,25,97,12,100,0
0,0,1,1,12,6,23,10,33,15,44,22,51,31,58,40,63,49,64,59,64,70,61,80,55,88,46,92,35,95,23,98,12,100,0
